Fide id,Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag
13700081,"Khasanova, Flyura",KAZ,F,1964,WGM,2245,2208,2233,wi
13403710,"Mammadova, Narmin",AZE,F,1999,WIM,2245,2099,2003,
4132203,"Molchanova, Tatjana",RUS,F,1980,WGM,2245,2161,2220,wi
10500146,"Zainal, Farah Atiyah",BRU,F,,,2245,,2228,wi
8602867,"Zhang, Jilin",AUS,F,1986,WGM,2245,2246,,
3804178,"Chumpitaz, Ann",PER,F,1994,WIM,2244,2204,2168,wi
2080788,"Eswaran, Ashritha",USA,F,2000,WIM,2244,,,
8600740,"Guo, Jun",CHN,F,1973,WFM,2244,,,wi
618446,"Leconte, Maria",FRA,F,1970,WGM,2244,2188,2108,
4123891,"Loktionova, Natalia",RUS,F,1974,WIM,2244,2191,,wi
8618020,"Lu, Miaoyi",CHN,F,2010,,2244,1403,1545,
4109503,"Minogina, Tamara",RUS,F,1959,WIM,2244,2231,2138,wi
5024528,"Pujari, Rucha",IND,F,1994,WIM,2244,2141,2113,
1206729,"Voicu-Jagodzinsky, Carmen",ROU,F,1981,WGM,2244,2222,2193,
24115347,"Balaian, Alina",RUS,F,1992,WIM,2243,2165,2195,
1308521,"Mueller-Seps, Monika",SUI,F,1986,WGM,2243,2213,2198,wi
34111422,"Nosacheva, Mariya",RUS,F,2001,WFM,2243,2051,2069,
5043131,"Parnali, S Dharia",IND,F,1997,WIM,2243,1868,1962,
5015448,"Vinuthna, N.",IND,F,1987,WIM,2243,,,wi
14534215,"Cvitan, Ena",CRO,F,2001,FM,2242,1951,2016,
2072505,"Gorti, Akshita",USA,F,2002,FM,2242,2215,2144,wi
14605511,"Vidic, Teja",SLO,F,1998,WIM,2242,1946,1989,
1102575,"Erenska-Barlo, Hanna",POL,F,1946,WGM,2241,,1895,wi
4123859,"Kamenskaja, Olga",RUS,F,1971,WFM,2241,,,wi
4153987,"Komiagina, Maria",RUS,F,1984,WIM,2241,2098,2070,
8601585,"Na, Linna",CHN,F,1987,,2241,,,wi
1621629,"Newrkla, Katharina",AUT,F,1992,WIM,2241,2122,2164,
8601984,"Li, Lu",CHN,F,1981,,2240,,,wi
4129989,"Moskalyuk, Natalya",RUS,F,1979,WFM,2240,,,wi
4122895,"Neroda, Alexandra",RUS,F,1978,WIM,2240,,,wi
4194950,"Saulina, Varvara",RUS,F,1992,WFM,2240,2066,2060,
4127641,"Sheredina, Anna",RUS,F,1976,,2240,,,wi
13400029,"Velikhanli, Firuza",AZE,F,1970,WGM,2240,,,wi
12408956,"Bach, Ngoc Thuy Duong",VIE,F,2003,WIM,2239,1800,1865,
2813742,"Lahav, Michal",ISR,F,1999,WIM,2239,2018,2075,
34100200,"Lysenko, Margarita",RUS,F,1999,WFM,2239,2146,2217,
873349,"Movileanu, Daniela",ITA,F,1996,WFM,2239,2099,2231,
25014510,Aakanksha Hagawane,IND,F,2000,WIM,2238,1870,1971,
2915235,"Antova, Gabriela",BUL,F,2002,FM,2238,2110,2179,
7101244,"Citra, Dewi Ardhiani Anastasia",INA,F,1994,WIM,2238,2158,2120,wi
4655524,"Duppel, Tina",GER,F,1984,WIM,2238,,,wi
13401491,"Hojjatova, Aydan",AZE,F,1999,WGM,2238,2104,1990,wi
927007,"Manakova, Maria",SRB,F,1974,WGM,2238,2239,2136,
14102412,"Sarana-Hungeling, Oksana",GER,F,1979,WGM,2238,,,wi
715352,"Kiss, Fernanda",HUN,F,1979,WIM,2237,,,wi
8602158,"Li, Nan",CHN,F,1987,,2237,,,wi
8602310,"Liu, Pei",CHN,F,1988,WIM,2237,,,wi
4652819,"Naiditsch, Irina",GER,F,1986,,2237,,,wi
4163591,"Nebolsina, Vera",RUS,F,1989,WGM,2237,2197,2208,
1705032,"Agrest, Svetlana",SWE,F,1966,WIM,2236,,,wi
4152832,"Gromova, Iulia",RUS,F,1985,WIM,2236,2132,2093,wi
4194594,"Chernova, Anastasia",RUS,F,1989,,2235,,,wi
5045118,Cholleti Sahajasri,IND,F,1996,WIM,2235,1976,1988,
13703595,"Davletbayeva, Madina",KAZ,F,1989,WGM,2235,2226,2115,
2008602,"Hahn, Anna",USA,F,1976,WIM,2235,,,wi
4612191,"Heintze, Marion",GER,F,1954,WIM,2235,,,wi
14109190,"Hrabinska, Myroslava",UKR,F,1984,WGM,2235,2079,2240,wi
4123352,"Krylova, Olga",RUS,F,,WIM,2235,,,wi
12401285,"Pham, Bich Ngoc",VIE,F,1990,WIM,2235,2181,2257,
