Date,Location/Operator,Aircraft Type/Registration,Fatalities
27 Jun 1995,"La Romana, Dominican RepublicSalair",Convair CV-440N356SA,2/2(0)
01 Jul 1995,"Kiunga, Papua New GuineaGaramut Aviation",de Havilland Canada C-7A CaribouP2-VTC,3/3(0)
12 Jul 1995,"Gumey, Papua New GuineaMilne Bay Air",de Havilland Canada DHC-6 Twin Otter 300P2-MBI,15/15(0)
17 Jul 1995,"Bintuni,  IndonesiaMerpati Nusantara Airlines",de Havilland Canada DHC-6 Twin Otter 300PK-NUT,1/18(0)
18 Jul 1995,"Near Antananivo, MadagascarMilitary - Madagascar Air Force",Douglas C-47A5R-MMG,34/34(0)
25 Jul 1995,"Near Karamui, Papua New GuineaTransniugini Airways",Britten-Norman BN-2A IslanderP2-TNT,2/2(0)
02 Aug 1995,"Johannesburg, South AfricaAero Air",Antonov An-2RRA-05708,3/3(0)
09 Aug 1995,"Near Kaimana, IndonesiaBourag Indonesia Airlines",Hawker Siddeley HS-748 2APK-KHL,10/10(0)
09 Aug 1995,"Mt. Chichontepec, San Vincente, El SalvadorAviateca",Boeing B-737-2H6N125GU,65/65(0)
14 Aug 1995,"Nevada del Huila, ColombiaAIRES Colombia",Embraer 110P1 BandeiranteHK-2594,10/10(0)
21 Aug 1995,"Near Carrollton, GeorgiaAtlantic Southeast Airlines",Embraer 120-RT BrasiliaN256AS,10/29(0)
01 Sep 1995,"Near Farewell, AlaskaNorth Star Air Cargo",Shorts SC-7 SkyvanN30GA,1/1(0)
02 Sep 1995,"Beaver Dam, ArizonaAdventure Airlines",Cessna 421C Golden EagleN6234G,8/8(0)
02 Sep 1995,"Toronto, Ontario, CanadaMilitary - Royal Air Force",British Aerospace Nimrod MR-2PXV239,7/7(0)
09 Sep 1995,"Near La Macarena, ColombiaSAETA",CASA 212 Aviocar 200FAC1152,21/22(0)
11 Sep 1995,"Jalalabad, AfghanistanAriana Afghan Airlines",Antonov AN-26BYA-BAO,3/51(0)
12 Sep 1995,"Off Colombo, Sri LankaMilitary - Sri Lanka Air Force",Antonov AN-32CR861,81/81(0)
15 Sep 1995,"Tawau,  MalaysiaMalaysia Airlines",Fokker 509M-MGH,34/53(0)
21 Sep 1995,"Near Moron, MongoliaMIAT - Mongolian Airlines",Antonov AN-24RVBNMAU-10103,42/43(0)
22 Sep 1995,"Anchorage, AlaskaMilitary - U.S. Air Force",Boeing B-707 (E-3B)77-0354,24/24(0)
24 Sep 1995,"Sterligov Cape, RussiaNorilsk Flight Company",Mil Mi-8TRA-24553,15/15(0)
27 Sep 1995,"Campbell River, British Columbia, CanadaWestern Straits Air",De Havilland Dash-3C-FEBX,8/10(0)
03 Oct 1995,"Gunung Antara, IndonesiaSabang Merauke Raya Air Charter",CASA 212PK-ZAG,1/14(0)
04 Oct 1995,"Barskoon, KirghiziaKirghizia Aba Zaoldoru",Mil Mi-8MTV-1EX-25179,15/15(0)
09 Nov 1995,"Near Luyaba, ArgentinaMilitary - Argentine Air Force",Fokker F-27 Friendship 500TC-72,53/53(0)
13 Nov 1995,"Kaduna, NigeriaNigeria Airways",Boeing B-737-2F95N-AUA,9/137(0)
22 Nov 1995,"Off Jaffna Peninsula , Sri LankaMilitary - Sri Lanka Air Force",Antonov AN-32CR862,63/63(0)
29 Nov 1995,"Off Labuan, MalaysiaSabah Air",Bell 412 (helicopter)9M-AYW,10/10(0)
30 Nov 1995,"Baku, AzerbaijanAzerbaijan Airlines",Boeing 707-323C4K-401,2/6(0)
03 Dec 1995,"Near Douala, CameroonCameroon Airlines",Boeing B-737-2K9TJ-CBE,72/78(0)
05 Dec 1995,"Near Nakhichevan, Azerbaijan, RussiaAzerbaijani Airlines",Tupolev TU-134B-34K-65703,54/82(0)
07 Dec 1995,"Near Grossevichi, RussiaFar East Aviation",Tupolev TU-154BRA-85164,98/98(0)
13 Dec 1995,"Verona  - Villafranca, ItalyRomanian Banat Air",Antonov AN-24BYR-AMR,49/49(0)
18 Dec 1995,"Cahungula, AngolaTrans Service Airlift",Lockheed L-188C Electra9Q-CRR,141/144(0)
20 Dec 1995,"Near Buga, Valle del Cauca, ColombiaAmerican Airlines",Boeing B-757-223N651AA,160/164(0)
22 Dec 1995,"Bagasin, Papua New GuineaIsland Airways",Britten Norman BN-2A-21 TrislanderP2-NAM,2/12(0)
08 Jan 1996,"Off Bridgetown, BarbadosMustique Airways",Britten-Norman BN-2A-27 IslanderJ8-VAK,1/10(0)
08 Jan 1996,"Kinshasa, ZaireAfrican Air",Antonov AN-32BRA-26222,2/6(225)
18 Jan 1996,"Near Kano, NigeriaMilitary - Nigerian Air Force",British Aerospace BAe-125-700B5N-AXO,14/14(0)
22 Jan 1996,"Off Point Pedro, Sri LankaMilitary - Sri Lanka Air Force",Mil Mi-17 (helicopter)CH-587,39/39(0)
04 Feb 1996,"Asuncion, ParaguayLineas Aereas del Caribe",McDonnell Douglas DC-8-55FHK-3979X,4/4(24)
05 Feb 1996,"St. Johns, ArizonaBusiness Air Connection",ConvairCV-440N131T,4/4(0)
06 Feb 1996,"Off Puerto Plata, Domincan RepublicAlas Nacionales, leased from Birgen Air",Boeing B-757-225TC-GEN,189/189(0)
11 Feb 1996,"Near Kandahar, AfghanistanMilitary - Taliban Militia",??,20/20(0)
12 Feb 1996,"Port-au-Prince, HatiHati Express",GAF Nomad N-24AN224E,11/15(0)
26 Feb 1996,"Near Jabal Awliya, SudanMilitary - Sudanese Air Force",Lockheed C-130H?,91/91(0)
27 Feb 1996,"Near Lukapa, AngolaAero Tropical",Antonov 12BPER-ACE,8/8(0)
29 Feb 1996,"Arequipa, PeruCompania de Aviacion Faucett SA (Peru)",Boeing B-737-222OB-1451,123/123(0)
09 Mar 1996,"Near Mesones Muro, PeruMilitary - Peruvian Army Aviation",Mil Mi-17EP561,23/23(0)
12 Mar 1996,"Karabogazgol Bay, TurkmenistanAkhal Air",Mil Mi-8T (helicopter)EZ-22684,12/12(0)
03 Apr 1996,"Near Dubrovnik, CroatiaMilitary - U.S. Air Force",Boeing B-737-T4373-1149,35/35(0)
05 Apr 1996,"Near Petropavlovsk, RussiaKrasnoyarskie Avialinii",Ilyushin IL-76TDRA-76752,20/20(0)
05 Apr 1996,"Off Matsu Island, TaiwanFormosa Airlines",Dornier 228-212B-12257,6/17(0)
11 Apr 1996,"Cheyenne, WyomingPrivate",Cessna 177BN35207,3/3(0)
03 May 1996,"Near Haj Yousif, SudanFederal Airlines",Antonov AN-24ST-FAG,53/53(0)
09 May 1996,"Near Terrace, British Columbia, CanadaBuffalo Narrows Airways",de Havilland Canada DHC-3 OtterC-GDOB,2/2(0)
10 May 1996,"Otaez, MexicoAeroservicios Empresariales de Durango",de Havilland Canada DHC-6 Twin Otter 200XA-SWJ,16/19(0)
11 May 1996,"Everglades, Miami, FloridaValuJet",McDonnell Douglas DC-9-32N904VJ,110/110(0)
11 May 1996,"Oumba, Papua New GuineaMilne Bay Air",Britten Norman BN-2A-20 TrislanderP2-ISD,1/10(0)
19 May 1996,"Griesta, United KingdomLoganair",Britten-Norman BN-2A-26 IslanderG-BEDZ,3/3(0)
06 Jun 1996,"Kinshasa, Democratic Republic CongoHoseba",Ilyushin 76MDUR-76539,10/10(0)
09 Jun 1996,"Rasht, IranIran Air",Boeing 727-286EP-IRU,7/7(0)
12 Jun 1996,"Near Rollingstone, Queensland  AustraliaMilitary - Australian Army Aviation",Sikorsky S-70 / Sikorsky S-70A25-113/A25-209,18/28(0)
13 Jun 1996,"Fukuoka, JapanGaruda Indonesia Airlines",McDonnell Douglas DC-10-30PK-GIE,3/275(0)
21 Jun 1996,"Shanghai, ChinaChina Flying Dragon Aviation (Feilong Airlines)",Harbin Yunshuji Y-12-IIB-3822,2/12(0)
06 Jul 1996,"Pensacola, FloridaDelta Air Lines",McDonnell Douglas MD-88N927DA,2/142(0)
09 Jul 1996,"Papua, New GuineaMilne Bay Air",de Havilland Canada DHC-6 Twin Otter 300P2-MBB,20/20(0)
11 Jul 1996,"Near Kanda, IndiaArchana Airlines",Let 410VT-ETC,9/9(0)
15 Jul 1996,"Near Eindhoven, The NetherlandsMilitary - Belgian Air Force",Lockheed C-130HCH-06,34/41(0)
17 Jul 1996,"Near Playa del Carmen, MexicoAerolatino (Aerocaribe)",de Havilland Canada DHC-6 Twin Otter 300XA-TCF,1/18(0)
17 Jul 1996,"Off East Moriches, New YorkTrans World Airlines",Boeing B-747-131N93119,230/230(0)
20 Jul 1996,"Russian Mission, AlaskaNorthern Air Cargo",Douglas DC-6AN313RS,4/4(0)
24 Jul 1996,"Near Mergui, ManmarMyanmar Airways",Fokker F-27 Friendship 600XY-AET,8/49(0)
12 Aug 1996,"Markham Bay, CanadaFirst Air",de Havilland Canada DHC-6 Twin Otter 300C-GNDN,2/2(0)
14 Aug 1996,"Near Bronson Creek, British Columbia, CanadaAir North",Douglas DC-4C-FGNI,1/3(0)
17 Aug 1996,"Near Jackson Hole, WyomingMilitary - U.S. Air Force",Lockheed C-130H Hercules74-1662,9/9(0)
18 Aug 1996," Near Alliford Bay, British Columbia, Canada2Harbour Air",de Havilland Canada DHC-3 Turbo OtterC-GCMY,3/3(0)
19 Aug 1996,"Belgrade, YugosalviaSpair Air Transport",Ilyushin IL-76TRA-76513,12/12(0)
29 Aug 1996,"Near Longyearbyen, NorwayVnokovo Airlines",Tupolev TU-154MRA-85621,141/141(0)
25 Sep 1996,"Waddenzee, NetherlandsDutch Dakota Association",Douglas DC-3CPH-DDA,32/32(0)
02 Oct 1996,"Off Pasamayo, PeruAeroperu",Boeing B-757-200N52AW,70/70(0)
03 Oct 1996,"Kahemba, CongoMalu Aviation",de Havilland Canada DHC-6 Twin Otter 2009Q-CXK,6/21(0)
06 Oct 1996,"Lukapa, AngolaSavanair",Antonov 12BRA-11101,6/19(0)
08 Oct 1996,"San Francesco al Campo, ItalyAeroflot",Antonov An-124RA-82069,2/23(2)
22 Oct 1996,"Manta, EcuadorMillion Air",Boeing B-707-323CN751MA,4/4(30)
26 Oct 1996,"Khanty, RussiaTyumen Aviatrans",Yakovlev YAK-40RA-88527,5/34(0)
31 Oct 1996,"Sao Paolo, BrazilTAM (Brazil)",Fokker 100PT-MRK,95/95(3)
01 Nov 1996,"Near Tikal, GuatemalaTransported Areos Profesionales - TAPSA",Embraer 110P1 BandeiranteTG-TPA,16/16(0)
07 Nov 1996,"Lagos, NigeriaAviation Development Corporation",Boeing B-727-2315N-BBF,143/143(0)
07 Nov 1996,"Aubusson, FranceJetcom S.A.",Cessna 421C Golden EagleHB-LRX,8/8(0)
12 Nov 1996,"Near Charkhi Dadri, IndiaSaudi Arabian Airlines / Kazakhstan Airlines",Boeing B-747-168B / Ilyushin IL-76TDHZ-AIH/UN-76435,349/349(0)
14 Nov 1996,"Bolchaïa Pyssa, RussiaKomi Avia",Antonov AN-2RA-40309,14/15(0)
19 Nov 1996,"Quincy, IllinoisUnited Express  / Private",Beechcraft 1900-C / Beech King Air A90N87GL / N1127D,14/14(0)
22 Nov 1996,"Off Cape Mendocino, CAMilitary - U.S. Air Force",Lockheed HC-130P Hercules64-14856,10/11(0)
23 Nov 1996,"Off Mitsamiouli, ComorosEthiopian Airlines",Boeing B-767-260ERET-AIZ,127/175(0)
27 Nov 1996,"Abakan, Siberia, RussiaMilitary - Russian Air Force",Ilyushin IL-76MDRA-76804,23/23(0)
30 Nov 1996,"Medellin, ColombiaACES Colombia",de Havilland Canada DHC-6 Twin Otter 300HK-2602,14/15(0)
07 Dec 1996,"Banjarmasin, IndonesiaDirgantara Air Services",CASA 212 Aviocar 100PK-VSO,16/17(2)
09 Dec 1996,"Boise, IdahoEmery Worldwide",Douglas C-47AN75142,2/2(0)
17 Dec 1996,"Tver, RussiaMilitary - Russian Air Force",Antonov AN-12?,18/18(0)
21 Dec 1996,"Rio Negro, ColombiaSELVA",Antonov An-32BHK-4008X,4/4(0)
22 Dec 1996,"Narrows, VirginiaAirborne Express",McDonnell Douglas DC-8-63FN827AX,6/6(0)
24 Dec 1996,"Dorchester, New HampshireAircraft Charter Group Inc",Learjet 35AN388LS,2/2(0)
24 Dec 1996,"Near Nellore, IndiaMilitary - Indian Air Force",Hindustan Aeronautics 748-2H1032,22/22(0)
07 Jan 1997,"Near Moamoa, SamoaPolynesian Airlines",de Havilland Canada DHC-6 Twin Otter 3005W-FAU,3/5(0)
09 Jan 1997,"Near Monroe, MichiganComair",Embraer 120RT BrasiliaN265CA,29/29(0)
29 Jan 1997,"Sparrevohn, AlaskaSouthcentral Air",de Havilland Canada DHC-4A CaribouN702SC,1/2(0)
31 Jan 1997,"Yola, NigeriaSkypower Express Airways",Embraer 110P1A Bandeirante5N-AXS,5/16(0)
01 Feb 1997,"Tambacoumba, SenegalAir Senegal",Hawker Siddeley HS-748-353 Srs.2a6AV-AEO,25/52(0)
02 Feb 1997,"Near Quiangala, AngolaForce Area Populaire de Angola",CASA 212 Aviocar 200T-400,37/37(0)
04 Feb 1997,Northern IsraelMilitary - Israel Air Force /Military -  Israel Air Force,Sikorsky CH53D / Sikorsky CH53D357 / 903,73/73(0)
14 Feb 1997,"Carajas, BrazilVarig",Boeing B-737-2C3PP-CJO,1/52(0)
19 Feb 1997,"Guatemala City, GuatemalaTranspolar",IAI 1124 WestwindYV-160CP,5/5(0)
12 Mar 1997,"Lucapa, AngolaALADA",Antonov AN-12BD2-FVG,16/16(0)
13 Mar 1997,"Near Mashhad, IranMilitary - Iranian Air Force",Lockheed C-130HF?,88/88(0)
18 Mar 1997,"Cherkessk, RussiaStavropol Airlines",Antonov AN-24RVRA-46516,50/50(0)
01 Apr 1997,"Tegucigalpa, HondurasMilitary - U.S. Air Force",Lockheed C-130H Hercules88-4408,3/10(0)
04 Apr 1997,"Griffin, GeorgiaCustom Air Service",Aviation Traders ATL-98 CarvairN83FA,2/2(0)
10 Apr 1997,"Near Wainwright, AlaskaHageland Aviation Services",Cessna 208B Caravan IN408GV,5/5(0)
14 Apr 1997,"Brazzaville, Democratic Republic CongoTAAG Angola Airlines",Fokker F-27 Friendship 600D2-TFP,3/7(0)
15 Apr 1997,"Gyandzha, AzerbaijanAzerbaijan Airlines",Yakovlev 404K-87504,6/6(0)
16 Apr 1997,"Near Sorei, NigerMilitary - Niger Air Force",Lockheed C-130H Hercules5U-MBD,14/14(0)
19 Apr 1997,"Tanjung Pandan, IndonesiaMerpati Nusantara Airlines",British Aerospace ATPPK-MTX,15/53(0)
23 Apr 1997,"Near Konduz, AfghanistanMilitary - Afghan Republican Air Force",Antonov AN-26?,36/36(0)
08 May 1997,"Huangtian, ChinaChina Southern Airlines",Boeing B-737-31BB-2925,35/74(0)
06 Jun 1997,"Near Irumu, CongoBazair",Vickers Viscount 781D9Q-CWL,27/27(0)
10 Jun 1997,"Mandalgobi, MongoliaMIAT - Mongolian Airlines",Harbin Yunshuji Y-12 IIJU-1020,7/12(0)
03 Jul 1997,"Madh Island, IndiaElbee Airlines",Fokker F-27 Friendship 200VT-SSA,2/2(0)
06 Jul 1997,"Near Saravena, ColombiaMilitary - Colombian Army",Mil Mi-17 (helicopter)?,25/29(0)
09 Jul 1997,"Suzano, BrazilTAM (Brazil)",Fokker 100PT-WHK,1/60(0)
11 Jul 1997,"Off Santiago de Cuba, CubaCubana de Aviacion",Antonov AN-24CU-T1262,44/44(0)
17 Jul 1997,"Bandung, IndonesiaSempati Air",Fokker F-27 Friendship 600PK-YPM,30/50(0)
18 Jul 1997,"Goroka,  New GuineaGoroka Air Services",de Havilland Canada DHC-6 Twin Otter 300P2-MMU,2/4(0)
29 Jul 1997,"Calabar , NigeriaADC Airlines",BAC One-Eleven 203AE5N-BAA,1/55(0)
30 Jul 1997,"Florence, ItalyAir Littoral",Aerospatiale ATR-42-512F-GPYE,1/17(0)
06 Aug 1997,"Agana, GuamKorean Airlines",Boeing B-747-300HL-7468,228/254(0)
07 Aug 1997,"Miami, FloridaFine Air",McDonnell Douglas DC-8-61FN27UA,4/4(1)
10 Aug 1997,"Matsu Island, TaiwanFormosa Airlines",Dornier DO-228-212B-12256,16/16(0)
29 Aug 1997,"Puerto Inirida, VenezuelaSATENA",Pilatus PC-6 Turbo Porter / Cessna 206FAC1115,12/12(0)
03 Sep 1997,"Phnom Penh, CambodiaVietnam Airlines",Tupolev TU-134VN-A120,65/66(0)
06 Sep 1997,"Near Miri, MalaysiaBorneo Airways",Dornier 228-2129M-MIA,10/10(0)
12 Sep 1997,"Near Uvira, ZaireTMK Air Commuter",de Havilland Canada DHC-6 Twin Otter 3009Q-CBO,22/22(0)
13 Sep 1997,"Off Namibia, AfricaMilitary - Luftwaffe / Military - USAF",Tupolev TU-154M / C-141 Starlifter1102/65-9405,33/33(0)
26 Sep 1997,"Buah Nabar, IndonesiaGaruda Indonesia Airlines",Airbus A300-B4-200PK-GAI,234/234(0)
08 Oct 1997,"Near Montrose, ColoradoScenic Airlines",Cessna 208B Caravan IN12022,9/9(0)
10 Oct 1997,"Nuevo Berlin, UruguayAustral Lineas Aeras (Argentina)",McDonnell Douglas DC-9-32LV-WEG,74/74(0)
10 Oct 1997,"Taipei, TaiwanMilitary - Republic of China Air Force",Lockheed C-130H Hercules1310,5/5(0)
12 Oct 1997,"Monterey Bay, near Pacific Grove, CaliforniaPrivate",Rutan Long EZ (experimental aircraft)N555JD,1/1(0)
29 Oct 1997,"Jalal-Abad, AfghanistanAriana Afghan Airlines",Yakovlev YAK-40YA-KAE,2/26(0)
08 Nov 1997,"Near Barrow, AlaskaHageland Aviation Services",Cessna 208B Caravan IN750GC,8/8(0)
05 Dec 1997,"Irkutsk-2, RussiaMilitary - Russian Air Force",Antonov AN-124-100RA-82005/08,23/23(44)
09 Dec 1997,"Little Grand Rapids, CanadaSowind Air",Embraer 110P1 BandeiranteC-GVRO,4/17(0)
13 Dec 1997,"La Veriente, BoliviaSTAP",Swearingen SA-226T Metro IICP-1635,10/19(0)
15 Dec 1997,"Sharjah, United Arab EmiratesTajikistan Airlines",Tupolev TU-154EY-85281,85/86(0)
17 Dec 1997,"Fotina, GreeceAerosweet Airlines (LVOV)",Yakovlev YAK-42UR-42334,70/70(0)
19 Dec 1997,"Near Palembang, IndonesiaSilkAir",Boeing B-737-3009V-TRF,104/104(0)
20 Dec 1997,"Tanagra, GreeceMilitary - Greek Air Force",Lockheed C-130H Hercules750,5/5(0)
27 Dec 1997,"Atlantic Ocean, off AngolaRenan Airways",Antonov An-72ER-ACF,5/5(0)
28 Dec 1997,Over the Pacific OceanUnited Air Lines,Boeing B-747-122N4723U,1/393(0)
31 Dec 1997,"Rio Sidra, PanamaParsa",Britten Norman BN-2A TrislanderHP-986PS,10/10(0)
13 Jan 1998,"Brno, Czech RepublicAeroservice International",Let 410UVPYV-928CP,2/2(0)
13 Jan 1998,"Tor Kach, PakistanMilitary - Ariana Afghan Airlines",Antonov AN-12BPYA-DAB,51/51(0)
27 Jan 1998,"Yangon (Rangoon), MyanmarMyanmar Airways",Fokker F-27 Friendship 600XY-AES,16/45(0)
02 Feb 1998," Cagyan de Oro, PhilippinesCebu Pacific Air",McDonnell Douglas DC-9-32RP-C1507,104/104(0)
03 Feb 1998,"Near Cavalese, Trento, ItalyMilitary - U.S. Marine Corps",Grummand EA-6B163045/CY-02,0/2(20)
04 Feb 1998,"Terceira, PortugalAir Luxor",Antonov 12BPLZ-SFG,7/7(0)
05 Feb 1998,"Near Navafria, SpainMilitary - Spanish Air Force",CASA 212-S1 Aviocar 100D-3B-9,5/5(0)
12 Feb 1998,"Near Nasir, SudanMilitary - Sudan Air Force",Antonov AN-32?,27/57(0)
16 Feb 1998,"Taipei, TaiwanChina Airlines (Taiwan)",Airbus A300-622RB-1814,196/196(7)
10 Mar 1998,"Mombasa, KenyaAir Memphis",Boeing 707-336CSU-PBA,6/6(0)
18 Mar 1998,"Off Hsinchu, TaiwanFormosa Airlines",Saab340BB-12255,13/13(0)
19 Mar 1998,"Near Charasyab, AfghanistanAriana Afghan Airlines",Boeing B-727-228YA-FAZ,45/45(0)
22 Mar 1998,"Bacolod, PhilippinesPhilippine Air Lines",Airbus A.320-214RP-C3222,0/127(3)
28 Mar 1998,"Piura, PeruFuerza Aérea del Peru",Antonov AN-32OB-1388,22/55(1)
31 Mar 1998,"Near Mexico City, MexicoLinea Aérea Mexicana de Carga",Convair CV-240-53XA-TAP,2/4(0)
20 Apr 1998,"Near Bogota, ColombiaAir France",Boeing B-727-230HC-BSU,53/53(0)
05 May 1998,"Andoas, PeruFuerza Aérea del Peru",Boeing B-737-282FAP-351,75/88(0)
12 May 1998,"Near Nema, MauritaniaMilitary - Mauritanian Air Force",Xian Yunshuji Y-7-100C5T-MAG,39/42(0)
25 May 1998,"Near Longtiang, LaosMilitary - Lao People's Liberation Army Air Force",Yakovlev YAK-4034001,26/26(0)
25 May 1998,"Indian Trail, North CarolinaAir Taxi - US Helicopters Inc.",Bell 206L-3N96CW,5/5(0)
26 May 1998,"Near Erdenet, MongoliaMIAT - Mongolian Airlines",Harbin Yunshuji Y-12 IIJU-1017,28/28(0)
18 Jun 1998,"Montreal, CanadaPropair",Swearingen SA-226TC Metroliner IIC-GQAL,11/11(0)
25 Jun 1998,"Mt. Waialeale, HawaiiAir Taxi - Ohana Helicopter Tours",Eurocopter AS-350-BAN594BK,6/6(0)
13 Jul 1998,"Off Rasal, United Arab EmiratesATI Aircompany",Ilyushin 76MDUR-76424,8/8(0)
16 Jul 1998,"Córdoba, ArgentinaAlas del Sur",Rockwell Sabreliner 60LV-WPO,3/3(0)
17 Jul 1998,"Asmara, EritreaUkraine Aviation Transport Company",Ilyushin II-76UR-UCI,10/10(0)
23 Jul 1998,"Pico de Orizaba, MexicoMilitary - Mexican Air Force",Shorts SC-7 Skyvan 3-100XC-UTQ,4/4(0)
27 Jul 1998,"Southhampton, EnglandPlane Sailing",Consolidated PBY-5A CatalinaVP-BPS,4/18(0)
28 Jul 1998,"Barcelona, SpainSwifair",Swearingen SA.227AC Metro IIIEC-FXD,2/2(0)
29 Jul 1998,"Manacapuru River, BrazilSelva Taxi Aero",Embraer 110 BandeirantePT-LGN,5/24(0)
30 Jul 1998,"Near Quiberon, FranceProteus Air / Private",Beechcraft 1900D / Cessna 177F-GSJM/F-GAJE,15/15(0)
30 Jul 1998,"Kochi, IndiaAlliance Airlines",Dornier 228-201VT-EJW,6/6(2)
04 Aug 1998,"Kincolith, British Columbia, CanadaHarbour Air Seaplanes Ltd.",de Havilland Dash-2 BeaverC-FOCJ,5/5(0)
11 Aug 1998,"Saurimo, AngolaAlada",Antonov An-12BPD2-FAZ,1/13(0)
19 Aug 1998,"Foveaux Strait, New ZealandVincent Aviation",Cessna 402CZK-VAC,5/10(0)
21 Aug 1998,"Near Ghorepani, NepalLumbini Airways",de Havilland Canada DHC-6 Twin Otter 3009N-ACC,18/18(0)
24 Aug 1998,"Pretoria, South AfricaSpeed Service Couriers",DC-3-65TPZS-NKK,1/2(0)
24 Aug 1998,"Manibagi, MyanmarMyanmar Airways",Fokker F-27 Friendship 600XY-AEN,44/44(0)
29 Aug 1998,"Quito, EcuadorCubana de Aviacion",Tupolev TU-154MCU-T1264,70/91(10)
02 Sep 1998,"Off Peggy's Cove, Nova Scotia, CanadaSwissair",McDonnell Douglas MD-11HB-IWF,229/229(0)
02 Sep 1998,AngolaPermaviatrans,Antonov AN-26RA-26028,24/24(0)
09 Sep 1998,"Port Alsworth, AlaskaRusts Flying Service Inc.",de Havilland Dash-2 float planeN1433Z,5/5(0)
10 Sep 1998,"Islamabad, PakistanMilitary - Pakistan Air Force",Lockheed C-130B Hercules24143,5/5(0)
25 Sep 1998,"Near Nador, MorrocoPaukn Air",British Aerospace BAe-146-100EC-GEO,38/38(0)
28 Sep 1998,"Praia, Cape VerdeCabo Verde Airlines",de Havilland Canada DHC-6 Twin Otter 300D4-CAX,1/22(0)
29 Sep 1998,"Off Mannar, Sri LankaLionair",Antonov AN-24RVEW-46465,55/55(0)
02 Oct 1998,"Near Canaima, VenezuelaServivensa",Douglas DC-3CYV-611C,1/27(0)
10 Oct 1998,"Near Kindu, CongoCongo Airline",Boeing B-727-309Q-CSG,41/41(0)
21 Oct 1998,"Yerevan, ArmeniaArarat Avia",Yakovlev YAK-40EK-88272,0/37(4)
25 Oct 1998,"Rwenzori mountains, UgandaTanaMana Aviation",Britten-Norman BN-2A-3 Islander5Y-ANV,4/11(0)
01 Nov 1998,"Near Quetzaltenango, GuatemalaLiving Water Teaching Ministries Charter",Douglas DC-3CN3FY,11/18(0)
11 Nov 1998,"Near Krasnoyarsk, RussiaSakha Airlines",Antonov AN-12RA-12955,13/13(0)
21 Nov 1998,"Edgewater, MarylandPrivate",Burgess RV-6 experimentalN956DB,1/1(0)
07 Dec 1998,"Baie-Comeau, CanadaAir Satellite",Britten-Norman TrislanderC-FCVK,7/10(0)
11 Dec 1998,"Near Surat Thani, ThailandThai Airways",Airbus A-310-204HS-TIA,102/146(0)
14 Dec 1998,"Near Cuito, AngolaKhors Aircompany",Antonov AN-12BPUR-11319,11/11(0)
17 Dec 1998,"Saurimo, AngolaZanex",Antonov 12S9-SAT,1/10(0)
22 Dec 1998,"Medellín, ColombiaSELVA",Antonov 32BHK-3930X,5/5(0)
26 Dec 1998,"Vila Nova, AngolaTransafrik",Lockheed Martin L-100-30 HerculesS9-CAO,14/14(0)
02 Jan 1999,"Near Huambo, AngolaTransafrik - United Nations Charter",Lockheed L-100-30 HerculesD2-EHD,9/9(0)
12 Jan 1999,"Guernsey, Channel Islands, EnglandChannel Express",Fokker F-27 Friendship 600G-CHNL,2/2(0)
13 Jan 1999,"Geilenkirchen, GermanyMilitary - German Air National Guard",Boeing KC-135E59-1452,4/4(0)
13 Jan 1999,"Mayne Island, British Columbia, CanadaKelowna Flightcraft Air Charter",Douglas DC-3CC-GWUG,2/2(0)
16 Jan 1999,"Coconut Island, QLD, AustraliaUzu Air",Britten Norman BN-2A-26VH-XFF,3/4(0)
21 Jan 1999,"Bluefields, NicaraguaFuerza Aérea Nicaragua",Antonov AN-26?,28/28(0)
02 Feb 1999,"Luanda, AngolaSavannair",Antonov AN-12EL-ASS,14/14(13)
03 Feb 1999,"Hoskins, Papua New GuineaAirlink",Britten Norman BN-2A TrislanderP2-ALH,11/11(0)
08 Feb 1999,"Kinshasa,  Democratic Republic CongoAir Karibu",Lockheed L-188A Electra9Q-CDI,7/7(0)
24 Feb 1999,"Rui'an, ChinaChina Southwest Airlines",Tupolev TU-154B-2622,61/61(0)
25 Feb 1999,"Genoa, ItalyMinerva Airlines",Dornier 328-110D-CPRR,4/31(0)
07 Mar 1999,"New Delhi, IndiaMilitary - Indian Air Force",Antonov AN-32 TransportK2673,19/19(3)
18 Mar 1999,"Near Tame, ColombiaALIANSA Colombia",Douglas DC-3C (C-47A-DK)HK-337,8/8(8)
19 Mar 1999,"Davis Inlet, Newfoundland, CanadaProvincial Airlines",de Havilland Canada DHC-6 Twin Otter 300C-FWLQ,1/2(0)
07 Apr 1999,"Ribeirao Preto, BrazilManacá Táxi Aéreo",Learjet 24DPT-LEM,5/5(0)
07 Apr 1999,"Near Ceyhan, TurkeyTurkish Airlines (THY)",Boeing 737-4Q8TC-JEP,6/6(0)
08 Apr 1999,"Near Malaga, ColombiaAerotaca",de Havilland Canada DHC-6 Twin Otter 300HK-2760,5/5(0)
15 Apr 1999,"Shanghi, ChinaKorean Air",McDonnell Douglas MD-11HL-7373,3/3(0)
08 May 1999,"Off Port Vila, VanuatuVanair",de Havilland Canada DHC-6 Twin Otter 300YJ-RV9,7/12(0)
24 May 1999,"Kuching, MalaysiaMilitary - Malaysian Air Force",de Havilland Canada DHC-4AM21-05,5/5(0)
29 May 1999,"Ol Kiombo, KenyaMalindi Air Services",Let 410UVP-E5Y-LET,2/2(0)
