Date,Location/Operator,Aircraft Type/Registration,Fatalities
29 Jun 1929,"Near Lindau, Bavaria, GermanyBodensee Aerolloyd",Domier Delphin III (flying boat)D-1620,5/5(0)
29 Jun 1929,"Columbus, OhioContinental Air Lines",Travel Air 4000NC5435,1/1(0)
11 Aug 1929,"Clovis, New MexicoMiddle States Airlines",Lockheed 5 VegaNC870E,4/4(0)
24 Aug 1929,"Sochi, RussiaUkvozduchput",Kalinin K-4CCCP-217,1/1(0)
24 Aug 1929,"Elm, GermanyDeutsche Lufthansa",Fokker FG IID-757,4/5(0)
02 Sep 1929,"Needles, CaliforniaAssociated Aviators",Lockheed VegaNR859E,1/2(0)
03 Sep 1929,"Mt. Taylor, near Grants, New MexicoTrans Continental Air Transport",Ford 5-AT-B Tri MotorNC9649,8/8(0)
06 Sep 1929,"Jask, IranImperial Airways",de Havilland DH-66 HerculesG-EBMZ,3/5(0)
14 Sep 1929,North Atlantic OceanAeropostale,Latecoere 25F-AIUJ,6/6(0)
14 Sep 1929,"Saint Catharines, OntarioSkyways",Travel Air 6000CF-ABE,6/6(0)
17 Sep 1929,"Mt Lamentation, ConnecticutColonial Air Transport",Pitcairn PA-6 Mailwing?,1/1(0)
17 Sep 1929,"Off Larache, MoroccoAeropostale",Latecoere 25-3-RF-AIUJ,5/5(0)
17 Sep 1929,"Jacumba, CaliforniaPickwick Airways",Fairchild 71?,1/2(0)
26 Oct 1929,"Off Spezia, ItalyImperial Airways",Short Calcutta (flying boat)G-AADN,7/7(0)
29 Oct 1929,"Mount Vernon, OhioContinental Air Lines",Stearman C-38?,1/1(0)
31 Oct 1929,"Off Bremerton, WashingtonBremerton-Seattle Air Taxi / Gorst Air Lines",Loening C-2CNC9158,2/2(0)
04 Nov 1929,"Cerro del Carbon, MexicoCorp. Aeronautica de Transportes",Lockheed Vega 5NC46M,4/4(0)
06 Nov 1929,"Near Godstone, Surrey, EnglandDeutsche Lufthansa",Junkers G-24D-903,7/8(0)
16 Nov 1929,"Off Corsica, FranceAir Union",Liore et Olivier 190F-AIGB,3/3(0)
20 Nov 1929,"Terranova Pausania, East SardiniaS.A.M. Società Aerea Mediterranea",Savoia Marchetti S55I-TACO,1/12(0)
30 Nov 1929,"Vancouver, WashingtonVarney Air Lines",Stearman M-2 SpeedmailNC8199,1/1(0)
02 Dec 1929,"Chagrin Falls, OhioNational Air Transport",Douglas M-3NC789,1/1(0)
19 Dec 1929,"Near Berlin, GermanyDeutsche Lufthansa",Arado V1D-1594,2/3(0)
30 Dec 1929,"Amarillo, TexasTrans Continental Air Transport",Travel Air B6000?,5/5(0)
10 Jan 1930,"Brawnson, NebraskaBoeing Air Transport",Boeing 95NC184E,1/1(0)
13 Jan 1930,"Antananarivo, MadagascarAir Orient",Farman 190F-AJJK,3/3(0)
19 Jan 1930,"Oceanside, CaliforniaMaddux Airlines",Ford 5-AT-C Tri MotorNC9689,16/16(0)
25 Jan 1930,"Off Ceuta, SpainAeropostale",Latecoere 25F-AJCL,2/2(0)
27 Jan 1930,"Kansas City, MissouriCentral  Airlines (Universal Aviation Corporation)",Travel Air A6000A?,5/5(0)
03 Feb 1930,"Hartford, ConnecticutColonial Air Transport",Pitcairn PA-6 MailwingNC801H,1/1(0)
10 Feb 1930,"Marden, EnglandAir Union",Farman F-63F-FHMY,2/6(0)
18 Apr 1930,"Jersey City, New JerseyCanadian Colonial Airways",Fairchild 71NC9148,4/4(0)
10 May 1930,"Buenos Aires, ArgentinaAeropostale",Latecoere 28F-AJPD,3/4(0)
05 Jun 1930,"Boston, MassachusettsColonial Air Transport",Ford Tri-Motor 5NC9675,1/15(0)
07 Jul 1930,"Bornholm, DenmarkDeutsche Lufthansa",Dornier WalD-864,5/8(0)
10 Jul 1930,"Arkansas Pass, TexasCross Airways",Lockheed Vega 5NC-394H,5/5(0)
21 Jul 1930,"Near Meopham, Kent, EnglandWalcot Air Line",Junkers F-13geG-AAZK,6/6(0)
22 Aug 1930,"Iglau, CzechoslovakiaCeskoslovenske Aerolinie",Ford 5-AT-C Tri MotorOK-FOR,10/11(0)
11 Sep 1930,"Croydon, EnglandSabena",Sabca F-VIIOO-AIN,2/2(0)
25 Sep 1930,"Edmonton, Alberta, CanadaWestern Canada Airways",Boeing 40CF-AIN,3/3(0)
05 Oct 1930,"Near Beauvais, FranceMilitary - British Air Ministry",Royal Airship Works R-101G-FAAW,48/54(0)
06 Oct 1930,"Dresden, GermanyDeutsche Lufthansa",Messerschmitt M-20BD-1930,8/8(0)
12 Oct 1930,"La Rache, MoroccoAeropostale",Latecoere 28F-AJUU,4/4(0)
13 Oct 1930,"Perth, AustraliaWings Ltd",de Havilland DH.80 Puss MothVH-UPC,3/3(?)
28 Oct 1930,"Prince Rupert, BC, CanadaAlaska-Washington Airways",Lockheed VegaNC103W,3/3(0)
30 Oct 1930,"Near Neufchatel, FranceImperial Airways",Handley Page W-8G-EBIX,3/6(0)
30 Oct 1930,"Brookston, IndianaEmbry Riddle Company",Pitcairn PA-6 Mailwing?,1/1(0)
